author,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,sum
Qi Li,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,2,2,0,11
Jonathan W Engle,0,0,0,0,0,0,0,0,0,0,3,2,4,1,1,0,0,0,11
Ji Li,0,0,0,0,0,0,0,2,2,2,1,2,1,1,0,0,0,0,11
Bo Wang,0,0,0,0,0,0,0,1,1,2,3,3,0,1,0,0,0,0,11
Yu Zhao,0,0,0,0,0,0,0,2,2,4,2,0,1,0,0,0,0,0,11
Xiang Zhang,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,0,1,0,11
Li Chen,0,0,0,0,0,0,0,2,0,3,1,2,1,0,0,1,1,0,11
Jerald L Schnoor,0,0,0,0,0,0,0,0,0,0,1,1,5,2,2,0,0,0,11
Jin Li,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,1,11
Yubing Tong,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,1,1,11
Xiang Wang,0,0,0,0,0,0,0,0,2,1,3,2,1,0,1,1,0,0,11
Min Liu,0,0,0,0,0,0,0,1,2,1,2,1,3,1,0,0,0,0,11
Gaya K Amarasinghe,0,0,0,0,0,0,0,0,0,1,3,1,2,1,2,0,0,0,10
Gang Hu,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,2,1,0,10
Bin Li,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,2,0,10
Zhengguang Zhang,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,3,1,10
Qi Zhang,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,0,2,0,10
Hui Yu,0,0,0,0,0,0,0,1,0,1,1,2,2,2,0,1,0,0,10
Shanshan Li,0,0,0,0,0,0,0,1,0,1,0,4,1,1,1,1,0,0,10
Yong Zhou,0,0,0,0,0,0,0,2,1,1,0,2,1,2,1,0,0,0,10
Yohei Saito,0,0,0,0,0,0,0,0,0,1,2,4,2,1,0,0,0,0,10
Bo Song,0,0,0,0,0,0,0,0,0,0,1,2,2,5,0,0,0,0,10
Jian Li,0,0,0,0,0,0,0,1,4,1,0,0,2,1,0,0,1,0,10
Hong Liu,0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,0,0,0,10
Patrick J Walsh,0,0,0,0,0,0,0,1,2,2,3,1,0,0,0,0,1,0,10
Lei Ren,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,0,0,10
David Huang,0,0,0,0,0,0,0,0,2,4,1,2,0,0,0,1,0,0,10
Lin Chen,0,0,0,0,0,0,0,2,0,1,2,2,0,2,0,0,1,0,10
Mingying Yang,0,0,0,0,0,0,0,1,2,2,2,2,1,0,0,0,0,0,10
Li Zhou,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,1,0,10
Lei Yang,0,0,0,0,0,0,0,2,0,0,1,1,4,0,2,0,0,0,10
Qi Zhao,0,0,0,0,0,0,0,3,1,0,0,1,1,2,0,1,1,0,10
Guiyun Yan,0,0,0,0,0,0,0,3,2,2,0,1,0,1,1,0,0,0,10
Shi-Jie Chen,0,0,0,0,0,0,0,0,0,2,1,2,1,1,2,1,0,0,10
Xin Li,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,1,2,1,10
Emily B Ehlerding,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,0,0,10
Hong Zhang,0,0,0,0,0,0,0,1,2,0,2,1,0,2,2,0,0,0,10
Hui Liu,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,0,0,10
Fang Wang,0,0,0,0,0,0,0,0,1,1,2,2,0,3,1,0,0,0,10
Yu Li,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,0,1,0,10
Liming Zhang,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0,0,1,0,10
Hui Cai,0,0,0,0,0,0,1,2,4,0,0,1,0,1,0,0,1,0,10
Eric W Deutsch,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,2,1,10
Li Zhang,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,0,0,10
Ye Mei,0,0,0,0,0,0,0,0,1,1,1,0,1,2,3,0,1,0,10
Juan Wang,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,10
Yang Zhao,0,0,0,0,0,0,0,3,1,2,2,0,0,0,1,1,0,0,10
Ni Yan,0,0,0,0,0,0,0,0,2,1,1,0,2,1,2,0,1,0,10
Hao Huang,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,1,2,1,10
Guibin Jiang,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10
Haifeng Zhang,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,3,0,10
Qi Liu,0,0,0,0,0,0,0,0,1,0,3,2,0,0,4,0,0,0,10
Yuan Tian,0,0,0,0,0,0,0,1,0,0,1,4,2,1,0,1,0,0,10
Xiang Zhou,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,0,0,0,10
Qian Li,0,0,0,0,0,0,0,1,1,0,1,1,1,4,0,1,0,0,10
Nan Li,0,0,0,0,0,0,1,2,3,1,0,1,1,1,0,0,0,0,10
Xiang-Qun Xie,0,0,0,0,0,0,0,0,1,3,0,1,1,2,1,0,1,0,10
Wei Zhao,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,2,0,0,10
